City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,7.19,49,100,1.34,US,1670265341
1,saltpond,5.2091,-1.0606,26.63,85,80,4.08,GH,1670265605
2,kapaa,22.0752,-159.319,23.44,90,100,2.06,US,1670265606
3,rikitea,-23.1203,-134.9692,24.09,81,100,6.02,PF,1670265607
4,cabo san lucas,22.8909,-109.9124,30.9,60,40,2.06,MX,1670265413
5,qaanaaq,77.484,-69.3632,-1.85,88,100,6.88,GL,1670265608
6,port-gentil,-0.7193,8.7815,27.98,83,40,4.63,GA,1670265609
7,port alfred,-33.5906,26.891,15.66,90,0,0.89,ZA,1670265610
8,san carlos de bariloche,-41.1456,-71.3082,19.86,32,20,12.86,AR,1670265491
9,vila franca do campo,37.7167,-25.4333,16.78,78,76,5.51,PT,1670265611
10,san cristobal,7.7669,-72.225,21.1,61,54,1.61,VE,1670265406
11,lidkoping,58.5052,13.1577,0.01,88,37,1.99,SE,1670265612
12,bafra,41.5678,35.9069,13.23,84,94,2.41,TR,1670265613
13,puerto ayora,-0.7393,-90.3518,26.98,86,70,2.24,EC,1670265613
14,cape town,-33.9258,18.4232,18.4,62,0,6.17,ZA,1670265614
15,yakeshi,49.2833,120.7333,-17.8,95,100,6.71,CN,1670265615
16,punta arenas,-53.15,-70.9167,10.01,57,75,9.26,CL,1670265616
17,isiro,2.7739,27.616,18.93,99,100,1.2,CD,1670265617
18,vaini,-21.2,-175.2,24.09,94,75,2.06,TO,1670265617
19,plettenberg bay,-34.0527,23.3716,15.18,80,1,2.1,ZA,1670265618
20,atuona,-9.8,-139.0333,25.0,78,100,7.43,PF,1670265402
21,hasaki,35.7333,140.8333,5.22,86,100,11.07,JP,1670265619
22,sydney,-33.8679,151.2073,18.1,86,20,7.2,AU,1670265392
23,sinnamary,5.3833,-52.95,28.2,69,46,4.67,GF,1670265620
24,qui nhon,13.7667,109.2333,25.06,88,100,9.08,VN,1670265620
25,nome,64.5011,-165.4064,-0.96,80,100,4.63,US,1670265621
26,port hedland,-20.3167,118.5667,28.03,61,100,6.17,AU,1670265622
27,port elizabeth,-33.918,25.5701,17.83,91,20,4.63,ZA,1670265622
28,puerto escondido,15.85,-97.0667,30.46,54,0,1.54,MX,1670265623
29,new norfolk,-42.7826,147.0587,10.72,64,100,0.89,AU,1670265623
30,tongliao,43.6125,122.2653,-12.88,60,0,4.34,CN,1670265624
31,jalu,29.0331,21.5482,19.12,34,0,3.39,LY,1670265625
32,ponta do sol,32.6667,-17.1,19.35,75,98,2.27,PT,1670265625
33,saskylakh,71.9167,114.0833,-26.97,95,100,7.17,RU,1670265626
34,hobart,-42.8794,147.3294,10.92,72,75,7.2,AU,1670265626
35,katherine,-14.4667,132.2667,28.18,57,97,3.09,AU,1670265334
36,lorengau,-2.0226,147.2712,25.91,80,100,1.87,PG,1670265627
37,ilulissat,69.2167,-51.1,3.01,48,40,6.17,GL,1670265628
38,gracac,44.3006,15.8547,9.86,94,68,1.85,HR,1670265628
39,kishtwar,33.3167,75.7667,5.62,42,100,2.35,IN,1670265629
40,isangel,-19.55,169.2667,24.06,88,23,1.54,VU,1670265467
41,arraial do cabo,-22.9661,-42.0278,28.98,65,20,8.23,BR,1670265630
42,lamu,-2.2717,40.902,27.12,78,84,4.51,KE,1670265631
43,caravelas,-17.7125,-39.2481,25.84,70,100,3.92,BR,1670265631
44,nikolskoye,59.7035,30.7861,-4.06,95,100,2.75,RU,1670265632
45,puerto maldonado,-12.6,-69.1833,35.22,49,0,2.06,PE,1670265633
46,baghdad,33.3406,44.4009,12.95,71,0,1.03,IQ,1670265622
47,oxford,51.7522,-1.256,7.25,91,75,4.63,GB,1670265634
48,stodolishche,54.1859,32.6492,-8.61,87,100,4.16,RU,1670265635
49,bredasdorp,-34.5322,20.0403,15.56,65,100,1.14,ZA,1670265635
50,nakusp,50.2499,-117.8023,-6.4,73,68,1.54,CA,1670265636
51,busselton,-33.65,115.3333,13.25,84,1,6.01,AU,1670265637
52,hithadhoo,-0.6,73.0833,27.5,75,100,3.41,MV,1670265637
53,chuy,-33.6971,-53.4616,25.07,52,0,4.86,UY,1670265612
54,souillac,-20.5167,57.5167,25.21,73,40,4.63,MU,1670265638
55,aksarka,66.5606,67.7975,-15.46,94,19,3.19,RU,1670265638
56,mataura,-46.1927,168.8643,10.27,100,100,1.45,NZ,1670265639
57,tasiilaq,65.6145,-37.6368,-1.91,64,68,2.78,GL,1670265632
58,abdulino,53.7,53.6667,-19.11,99,28,1.94,RU,1670265640
59,valdivia,-39.8142,-73.2459,19.05,56,100,3.48,CL,1670265640
60,makow mazowiecki,52.8649,21.1005,1.61,95,100,3.34,PL,1670265641
61,manta,-0.95,-80.7333,25.88,69,20,5.14,EC,1670265641
62,tiksi,71.6872,128.8694,-24.98,95,100,5.03,RU,1670265642
63,miri,4.4148,114.0089,26.2,94,40,0.0,MY,1670265502
64,victoria,22.2855,114.1577,14.55,65,35,5.81,HK,1670265482
65,sabang,5.8933,95.3214,26.66,78,73,3.48,ID,1670265643
66,dalbandin,28.8947,64.4101,13.26,30,0,3.04,PK,1670265643
67,tomatlan,19.9333,-105.25,31.74,49,13,2.34,MX,1670265644
68,tuy hoa,13.0833,109.3,24.6,93,100,6.56,VN,1670265644
69,camacari,-12.6975,-38.3242,27.87,67,62,4.18,BR,1670265421
70,hermanus,-34.4187,19.2345,17.11,63,100,1.61,ZA,1670265645
71,panaba,21.2833,-88.2667,29.88,49,83,4.38,MX,1670265645
72,castro,-24.7911,-50.0119,24.15,74,59,3.09,BR,1670265646
73,geraldton,-28.7667,114.6,20.23,77,100,6.17,AU,1670265402
74,port lincoln,-34.7333,135.8667,15.01,71,100,6.24,AU,1670265647
75,faanui,-16.4833,-151.75,26.32,78,100,8.11,PF,1670265647
76,khatanga,71.9667,102.5,-32.79,100,14,1.52,RU,1670265648
77,fortuna,40.5982,-124.1573,9.51,91,100,5.14,US,1670265649
78,sorland,67.667,12.6934,3.92,92,100,18.91,NO,1670265653
79,pudozh,61.8099,36.5345,-5.26,95,100,3.7,RU,1670265654
80,tazovskiy,67.4667,78.7,-10.17,93,100,7.23,RU,1670265654
81,mar del plata,-38.0023,-57.5575,34.35,82,0,7.6,AR,1670265655
82,bambous virieux,-20.3428,57.7575,25.14,73,40,4.63,MU,1670265655
83,lowestoft,52.4752,1.7516,7.23,85,100,8.25,GB,1670265479
84,tecoanapa,16.5167,-98.75,28.81,62,1,4.25,MX,1670265656
85,lavrentiya,65.5833,-171.0,-4.77,90,100,2.89,RU,1670265657
86,hilo,19.7297,-155.09,25.71,77,40,3.09,US,1670265657
87,constitucion,-35.3333,-72.4167,19.89,57,7,7.62,CL,1670265658
88,ahipara,-35.1667,173.1667,16.29,84,100,2.08,NZ,1670265658
89,mahuva,21.0914,71.7622,23.66,35,0,4.76,IN,1670265597
90,teknaf,20.8624,92.3058,21.17,77,1,3.27,BD,1670265659
91,kaitangata,-46.2817,169.8464,7.93,95,100,2.87,NZ,1670265660
92,severo-kurilsk,50.6789,156.125,-4.74,61,100,11.18,RU,1670265660
93,dikson,73.5069,80.5464,-3.85,95,100,6.74,RU,1670265661
94,moron,-34.6534,-58.6198,36.64,44,0,4.36,AR,1670265661
95,salalah,17.0151,54.0924,26.05,44,20,2.57,OM,1670265662
96,umm lajj,25.0213,37.2685,24.59,61,0,2.92,SA,1670265662
97,alexandria,31.2156,29.9553,19.3,63,40,4.12,EG,1670265663
98,harper,4.375,-7.7169,26.01,83,100,1.72,LR,1670265663
99,carnarvon,-24.8667,113.6333,20.63,77,50,7.59,AU,1670265664
100,tarakan,3.3,117.6333,25.95,84,100,1.56,ID,1670265665
101,weatherford,32.7593,-97.7972,24.49,67,65,1.79,US,1670265410
102,gushikawa,26.3544,127.8686,18.57,91,20,7.2,JP,1670265666
103,saint-pierre,-21.3393,55.4781,24.82,69,0,3.6,RE,1670265666
104,codrington,-38.2667,141.9667,10.81,73,17,5.16,AU,1670265667
105,ingham,42.6,-84.3833,4.54,56,75,0.0,US,1670265668
106,kiruna,67.8557,20.2251,-5.49,93,88,4.12,SE,1670265668
107,cockburn town,21.4612,-71.1419,25.82,67,31,9.06,TC,1670265669
108,mahebourg,-20.4081,57.7,25.16,73,40,4.63,MU,1670265530
109,laguna,38.421,-121.4238,13.99,85,20,5.14,US,1670265670
110,airai,-8.9266,125.4092,15.07,72,100,0.65,TL,1670265672
111,longyearbyen,78.2186,15.6401,-12.09,67,75,11.32,SJ,1670265672
112,dicabisagan,17.0818,122.4157,24.22,92,99,2.95,PH,1670265673
113,jamestown,42.097,-79.2353,7.53,31,0,5.14,US,1670265431
114,iskateley,67.6803,53.1512,-14.82,86,99,6.15,RU,1670265674
115,berdigestyakh,62.0989,126.6992,-24.0,96,100,3.02,RU,1670265675
116,pevek,69.7008,170.3133,-30.33,88,27,2.38,RU,1670265660
117,loralai,30.3705,68.598,9.93,32,0,1.63,PK,1670265676
118,mirnyy,62.5353,113.9611,-17.09,84,100,1.79,RU,1670265676
